Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4027/9781402780462.jpg,Facial Fitness,Patricia Goroway,Mixed media product,3.5,13.35,15.5,9781402780462,Home-Garden
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7864/9781786482228.jpg,Five Go Gluten Free,Bruno Vincent,Hardback,3.5,7.14,10.3,9781786482228,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8661/9788866137238.jpg,Moleskine White Large Ruled Notebook Hard,Moleskine,Notebook / blank book,5.0,13.82,16.99,9788866137238,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6046/9781604693706.jpg,Planting: A New Perspective,Piet Oudolf,Hardback,4.5,26.35,35.95,9781604693706,Home-Garden
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509896578.jpg,Carrying the Fire,Michael Collins,Paperback,4.5,11.12,13.9,9781509896578,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140435689.jpg,The Penguin Book of Romantic Poetry,Jonathan Wordsworth,Paperback,4.0,19.56,21.1,9780140435689,Reference
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616772109.jpg,Accelerated Piano Adventures for the Older Beginner - Lesson Book 2,Nancy Faber,Paperback,4.5,10.85,11.0,9781616772109,Entertainment
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753545850.jpg,The Curated Closet,Anuschka Rees,Paperback,3.5,18.9,21.1,9780753545850,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447297581.jpg,Dark Matter,Blake Crouch,Paperback,4.0,8.05,11.5,9781447297581,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9753/9781975301163.jpg,"That Time I Got Reincarnated as a Slime, Vol. 5 (light novel)",Fuse,Paperback,4.5,11.12,13.9,9781975301163,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4712/9780471287858.jpg,Culinary Artistry,Andrew Dornenburg,Paperback,4.5,22.67,101.75,9780471287858,Technology-Engineering
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5683/9781568361871.jpg,"Roads To Sata, The: A 2000-mile Walk Through Japan",Alan Booth,Paperback,4.0,14.03,17.0,9781568361871,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0627/9780062748201.jpg,Barracoon,Zora Neale Hurston,Hardback,4.0,20.42,24.2,9780062748201,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141020808.jpg,Ghost Wars,Steve Coll,Paperback,4.5,16.28,18.0,9780141020808,History-Archaeology
