Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,CatID,BookID,Year,Position,Status,Description
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5966/9781596688582.jpg,Japanese Quilting Piece by Piece,Yoko Saito,Paperback,4.5,19.16,19.99,9781596688582,cat08,book05347,1985/02/12,5347,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8548/9781854862303.jpg,Lathework,Harold Hall,Paperback,4.0,8.13,9.5,9781854862303,cat08,book05348,2021/02/27,5348,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4402/9781440245459.jpg,Quilt with Tula and Angela,Tula Pink,Paperback,4.5,17.38,21.1,9781440245459,cat08,book05349,2007/01/21,5349,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9784/8053/9784805310717.jpg,Origami Paper Kimono Patterns Large,Tuttle Publishing,Paperback,4.5,6.69,8.8,9784805310717,cat08,book05350,1991/12/06,5350,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406375718.jpg,Where's Wally? The Totally Essential Travel Collection,Martin Handford,Paperback,4.5,11.03,12.4,9781406375718,cat08,book05351,1988/06/24,5351,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8578/9780857833778.jpg,The Urban Woodsman,Max Bainbridge,Hardback,4.0,16.1,21.1,9780857833778,cat08,book05352,2005/05/11,5352,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419732348.jpg,Gertie Sews Jiffy Dresses:A Modern Guide to Stitch-and-Wear Vinta,Hirsch Gretchen,Hardback,4.0,25.18,31.4,9781419732348,cat08,book05353,1977/10/12,5353,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811877701.jpg,I Was Here,Kate Pocrass,Calendar,4.0,11.36,17.0,9780811877701,cat08,book05354,1981/05/16,5354,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6034/9781603424684.jpg,Hand Dyeing Yarn and Fleece,Gail Callahan,Hardback,4.5,15.46,16.95,9781603424684,cat08,book05355,1975/09/24,5355,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5712/9781571203229.jpg,One Block Wonders,Maxine Rosenthal,Paperback,4.0,16.87,20.1,9781571203229,cat08,book05356,2006/03/25,5356,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6241/9781624145285.jpg,Macrame at Home,Natalie Ranae,Paperback,4.5,15.43,20.1,9781624145285,cat08,book05357,2000/07/16,5357,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486249841.jpg,Traditional Patchwork Quilt Patterns with Plastic Templates,Rita Weiss,Paperback,4.0,6.39,7.8,9780486249841,cat08,book05358,1994/05/23,5358,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8461/9781846144448.jpg,This Is Not A Book,Keri Smith,Paperback,4.0,10.18,12.9,9781846144448,cat08,book05359,1998/10/26,5359,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5892/9781589236080.jpg,The Complete Photo Guide to Perfect Fitting,Sarah Veblen,Paperback,4.0,18.0,21.1,9781589236080,cat08,book05360,1995/12/29,5360,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8444/9781844486991.jpg,Twenty to Make: Fabric Flowers,Kate Haxell,Paperback,4.0,5.79,6.2,9781844486991,cat08,book05361,2017/12/27,5361,Available,
